manufacturer_name,model_number,product_name,chain_type,ansi_chain_number,pitch_inches,tensile_strength_lbs,working_load_lbs,number_of_strands,roller_diameter_inches,pin_diameter_inches,plate_height_inches,plate_thickness_inches,overall_width_inches,weight_per_foot_lbs,material,surface_treatment,connecting_link_type,lube_free,corrosion_resistant,pre_loaded,application_notes,country_of_origin,datasheet_url,image_url,product_url
Tsubaki,RS40-1,RS Roller Chain ANSI 40,Standard,40,0.500,3430,858,1,0.312,0.156,0.472,0.060,0.500,0.41,Carbon Steel,Standard,Slip-Fit,No,No,No,"Light duty conveying, small machinery",Japan,,,
Tsubaki,RS50-1,RS Roller Chain ANSI 50,Standard,50,0.625,4770,1193,1,0.400,0.200,0.602,0.080,0.750,0.68,Carbon Steel,Standard,Slip-Fit,No,No,No,"General power transmission",Japan,,,
Tsubaki,RS60-1,RS Roller Chain ANSI 60,Standard,60,0.750,8580,2145,1,0.469,0.234,0.720,0.094,0.875,1.00,Carbon Steel,Standard,Slip-Fit,No,No,No,"General industrial drives",Japan,,,
Tsubaki,RS80-1,RS Roller Chain ANSI 80,Standard,80,1.000,14500,3625,1,0.625,0.312,0.960,0.125,1.000,1.65,Carbon Steel,Standard,Slip-Fit,No,No,No,"General power transmission, moderate loads",Japan,,,
Tsubaki,RS100-1,RS Roller Chain ANSI 100,Standard,100,1.250,24000,6000,1,0.750,0.375,1.185,0.156,1.250,2.58,Carbon Steel,Standard,Cotter Pin,No,No,No,"Heavy duty power transmission",Japan,,,
Tsubaki,RS120-1,RS Roller Chain ANSI 120,Standard,120,1.500,34000,8500,1,0.875,0.437,1.420,0.187,1.563,3.72,Carbon Steel,Standard,Cotter Pin,No,No,No,"Heavy duty industrial drives",Japan,,,
Tsubaki,RS160-1,RS Roller Chain ANSI 160,Standard,160,2.000,58000,14500,1,1.125,0.562,1.900,0.250,1.875,6.57,Carbon Steel,Standard,Cotter Pin,No,No,No,"Very heavy duty applications",Japan,,,
Tsubaki,RS40-2,RS Roller Chain ANSI 40 Duplex,Double Strand,40-2,0.500,6860,1716,2,0.312,0.156,0.472,0.060,1.015,0.82,Carbon Steel,Standard,Slip-Fit,No,No,No,"Higher load double strand",Japan,,,
Tsubaki,RS60-2,RS Roller Chain ANSI 60 Duplex,Double Strand,60-2,0.750,17160,4290,2,0.469,0.234,0.720,0.094,1.765,2.00,Carbon Steel,Standard,Slip-Fit,No,No,No,"Heavy duty double strand drives",Japan,,,
Tsubaki,RS80-2,RS Roller Chain ANSI 80 Duplex,Double Strand,80-2,1.000,29000,7250,2,0.625,0.312,0.960,0.125,2.000,3.30,Carbon Steel,Standard,Slip-Fit,No,No,No,"High load double strand applications",Japan,,,
Tsubaki,LH1234,Lambda Lube-Free Chain ANSI 40,Lube-Free,40,0.500,3430,858,1,0.312,0.156,0.472,0.060,0.500,0.43,Sintered Alloy Bushings,Standard,Slip-Fit,Yes,No,No,"Lube-free environments, food processing",Japan,,,
Tsubaki,LH1244,Lambda Lube-Free Chain ANSI 50,Lube-Free,50,0.625,4770,1193,1,0.400,0.200,0.602,0.080,0.750,0.70,Sintered Alloy Bushings,Standard,Slip-Fit,Yes,No,No,"Lube-free environments, packaging",Japan,,,
Tsubaki,LH1254,Lambda Lube-Free Chain ANSI 60,Lube-Free,60,0.750,8580,2145,1,0.469,0.234,0.720,0.094,0.875,1.05,Sintered Alloy Bushings,Standard,Slip-Fit,Yes,No,No,"Lube-free environments, food manufacturing",Japan,,,
Tsubaki,LH1264,Lambda Lube-Free Chain ANSI 80,Lube-Free,80,1.000,14500,3625,1,0.625,0.312,0.960,0.125,1.000,1.72,Sintered Alloy Bushings,Standard,Slip-Fit,Yes,No,No,"Lube-free environments, pharmaceutical",Japan,,,
Tsubaki,G8-RS60-1,Gold & Silver G8 Chain ANSI 60,Heavy-Duty,60H,0.750,10400,2600,1,0.469,0.234,0.720,0.094,0.875,1.08,Carbon Steel,Gold Chromate,Slip-Fit,No,No,Yes,"Demanding drives, higher shock loads",Japan,,,
Tsubaki,G8-RS80-1,Gold & Silver G8 Chain ANSI 80,Heavy-Duty,80H,1.000,17400,4350,1,0.625,0.312,0.960,0.125,1.000,1.78,Carbon Steel,Gold Chromate,Slip-Fit,No,No,Yes,"Heavy shock loads, steel mills, mining",Japan,,,
Tsubaki,NEPTUNE-RS60,Neptune Stainless Chain ANSI 60,Stainless,60SS,0.750,5800,1450,1,0.469,0.234,0.720,0.080,0.875,1.05,Stainless Steel,Passivated,Slip-Fit,No,Yes,No,"Corrosive environments, washdown",Japan,,,
Tsubaki,NEPTUNE-RS80,Neptune Stainless Chain ANSI 80,Stainless,80SS,1.000,10200,2550,1,0.625,0.312,0.960,0.110,1.000,1.70,Stainless Steel,Passivated,Slip-Fit,No,Yes,No,"Corrosive environments, food processing",Japan,,,
Diamond Chain,35-1,Diamond Standard Chain ANSI 35,Standard,35,0.375,2100,525,1,0.234,0.141,0.358,0.050,0.252,0.21,Carbon Steel,Standard,Slip-Fit,No,No,No,"Light duty, small equipment",USA,,,
Diamond Chain,40-1,Diamond Standard Chain ANSI 40,Standard,40,0.500,3700,925,1,0.312,0.156,0.472,0.060,0.500,0.41,Carbon Steel,Standard,Slip-Fit,No,No,No,"Light-medium duty power transmission",USA,,,
Diamond Chain,50-1,Diamond Standard Chain ANSI 50,Standard,50,0.625,6100,1525,1,0.400,0.200,0.602,0.080,0.640,0.68,Carbon Steel,Standard,Slip-Fit,No,No,No,"General purpose drives",USA,,,
Diamond Chain,60-1,Diamond Standard Chain ANSI 60,Standard,60,0.750,8500,2125,1,0.469,0.234,0.720,0.094,0.750,1.00,Carbon Steel,Standard,Slip-Fit,No,No,No,"General industrial drives",USA,,,
Diamond Chain,80-1,Diamond Standard Chain ANSI 80,Standard,80,1.000,14500,3625,1,0.625,0.312,0.960,0.125,1.000,1.65,Carbon Steel,Standard,Slip-Fit,No,No,No,"Medium-heavy duty power transmission",USA,,,
Diamond Chain,100-1,Diamond Standard Chain ANSI 100,Standard,100,1.250,24000,6000,1,0.750,0.375,1.185,0.156,1.125,2.58,Carbon Steel,Standard,Cotter Pin,No,No,No,"Heavy duty industrial applications",USA,,,
Diamond Chain,120-1,Diamond Standard Chain ANSI 120,Standard,120,1.500,34000,8500,1,0.875,0.437,1.420,0.187,1.406,3.72,Carbon Steel,Standard,Cotter Pin,No,No,No,"Very heavy duty drives",USA,,,
Diamond Chain,140-1,Diamond Standard Chain ANSI 140,Standard,140,1.750,46000,11500,1,1.000,0.500,1.660,0.219,1.625,5.15,Carbon Steel,Standard,Cotter Pin,No,No,No,"Extra heavy duty applications",USA,,,
Diamond Chain,160-1,Diamond Standard Chain ANSI 160,Standard,160,2.000,58000,14500,1,1.125,0.562,1.900,0.250,1.875,6.57,Carbon Steel,Standard,Cotter Pin,No,No,No,"Maximum duty applications",USA,,,
Diamond Chain,40-2,Diamond Duplex Chain ANSI 40,Double Strand,40-2,0.500,7400,1850,2,0.312,0.156,0.472,0.060,1.020,0.82,Carbon Steel,Standard,Slip-Fit,No,No,No,"Double strand, higher loads",USA,,,
Diamond Chain,60-2,Diamond Duplex Chain ANSI 60,Double Strand,60-2,0.750,17000,4250,2,0.469,0.234,0.720,0.094,1.540,2.00,Carbon Steel,Standard,Slip-Fit,No,No,No,"Double strand heavy duty",USA,,,
Diamond Chain,80-2,Diamond Duplex Chain ANSI 80,Double Strand,80-2,1.000,29000,7250,2,0.625,0.312,0.960,0.125,2.000,3.30,Carbon Steel,Standard,Slip-Fit,No,No,No,"Double strand high load drives",USA,,,
Diamond Chain,40SS-1,Diamond Stainless Chain ANSI 40,Stainless,40SS,0.500,2800,700,1,0.312,0.156,0.472,0.060,0.500,0.45,Stainless Steel,Passivated,Slip-Fit,No,Yes,No,"Corrosive, washdown, food grade",USA,,,
Diamond Chain,60SS-1,Diamond Stainless Chain ANSI 60,Stainless,60SS,0.750,6400,1600,1,0.469,0.234,0.720,0.080,0.875,1.10,Stainless Steel,Passivated,Slip-Fit,No,Yes,No,"Corrosive environments",USA,,,
Diamond Chain,80SS-1,Diamond Stainless Chain ANSI 80,Stainless,80SS,1.000,10800,2700,1,0.625,0.312,0.960,0.110,1.000,1.75,Stainless Steel,Passivated,Slip-Fit,No,Yes,No,"Heavy duty corrosive environments",USA,,,
Diamond Chain,LF40-1,Diamond Lube-Free Chain ANSI 40,Lube-Free,40,0.500,3700,925,1,0.312,0.156,0.472,0.060,0.500,0.43,Carbon Steel w/ Sintered Bushings,Standard,Slip-Fit,Yes,No,No,"Maintenance-free, food processing",USA,,,
Diamond Chain,LF60-1,Diamond Lube-Free Chain ANSI 60,Lube-Free,60,0.750,8500,2125,1,0.469,0.234,0.720,0.094,0.875,1.05,Carbon Steel w/ Sintered Bushings,Standard,Slip-Fit,Yes,No,No,"Maintenance-free industrial",USA,,,
Diamond Chain,40HB-1,Diamond Heavy Series Chain ANSI 40H,Heavy-Duty,40H,0.500,4450,1113,1,0.312,0.156,0.472,0.080,0.500,0.53,Carbon Steel,Standard,Slip-Fit,No,No,No,"Heavy plate, higher shock resistance",USA,,,
Diamond Chain,60HB-1,Diamond Heavy Series Chain ANSI 60H,Heavy-Duty,60H,0.750,10200,2550,1,0.469,0.234,0.720,0.110,0.875,1.22,Carbon Steel,Standard,Slip-Fit,No,No,No,"Heavy plate, demanding applications",USA,,,
Diamond Chain,80HB-1,Diamond Heavy Series Chain ANSI 80H,Heavy-Duty,80H,1.000,17000,4250,1,0.625,0.312,0.960,0.156,1.000,2.10,Carbon Steel,Standard,Slip-Fit,No,No,No,"Heavy plate, high shock loads",USA,,,
Daido,D35-1,Daido Standard Roller Chain ANSI 35,Standard,35,0.375,2100,525,1,0.234,0.141,0.358,0.050,0.252,0.21,Carbon Steel,Standard,Slip-Fit,No,No,No,"Light duty, small equipment",Japan,,,
Daido,D40-1,Daido Standard Roller Chain ANSI 40,Standard,40,0.500,3700,925,1,0.312,0.156,0.472,0.060,0.500,0.41,Carbon Steel,Standard,Slip-Fit,No,No,No,"General light duty drives",Japan,,,
Daido,D50-1,Daido Standard Roller Chain ANSI 50,Standard,50,0.625,5900,1475,1,0.400,0.200,0.602,0.080,0.640,0.68,Carbon Steel,Standard,Slip-Fit,No,No,No,"General purpose power transmission",Japan,,,
Daido,D60-1,Daido Standard Roller Chain ANSI 60,Standard,60,0.750,8500,2125,1,0.469,0.234,0.720,0.094,0.875,1.00,Carbon Steel,Standard,Slip-Fit,No,No,No,"General industrial drives",Japan,,,
Daido,D80-1,Daido Standard Roller Chain ANSI 80,Standard,80,1.000,14500,3625,1,0.625,0.312,0.960,0.125,1.000,1.65,Carbon Steel,Standard,Slip-Fit,No,No,No,"Medium-heavy duty power transmission",Japan,,,
Daido,D100-1,Daido Standard Roller Chain ANSI 100,Standard,100,1.250,24000,6000,1,0.750,0.375,1.185,0.156,1.250,2.58,Carbon Steel,Standard,Cotter Pin,No,No,No,"Heavy duty industrial applications",Japan,,,
Daido,D120-1,Daido Standard Roller Chain ANSI 120,Standard,120,1.500,34000,8500,1,0.875,0.437,1.420,0.187,1.563,3.72,Carbon Steel,Standard,Cotter Pin,No,No,No,"Very heavy duty drives",Japan,,,
Daido,D160-1,Daido Standard Roller Chain ANSI 160,Standard,160,2.000,58000,14500,1,1.125,0.562,1.900,0.250,1.875,6.57,Carbon Steel,Standard,Cotter Pin,No,No,No,"Maximum duty applications",Japan,,,
Daido,D40-2,Daido Duplex Chain ANSI 40,Double Strand,40-2,0.500,7400,1850,2,0.312,0.156,0.472,0.060,1.015,0.82,Carbon Steel,Standard,Slip-Fit,No,No,No,"Double strand higher loads",Japan,,,
Daido,D60-2,Daido Duplex Chain ANSI 60,Double Strand,60-2,0.750,17000,4250,2,0.469,0.234,0.720,0.094,1.765,2.00,Carbon Steel,Standard,Slip-Fit,No,No,No,"Double strand heavy duty drives",Japan,,,
Daido,D80-2,Daido Duplex Chain ANSI 80,Double Strand,80-2,1.000,29000,7250,2,0.625,0.312,0.960,0.125,2.000,3.30,Carbon Steel,Standard,Slip-Fit,No,No,No,"Double strand high load drives",Japan,,,
Daido,DA40SS-1,Daido Stainless Chain ANSI 40,Stainless,40SS,0.500,2800,700,1,0.312,0.156,0.472,0.060,0.500,0.45,Stainless Steel,Passivated,Slip-Fit,No,Yes,No,"Corrosive environments, food grade",Japan,,,
Daido,DA60SS-1,Daido Stainless Chain ANSI 60,Stainless,60SS,0.750,6400,1600,1,0.469,0.234,0.720,0.080,0.875,1.10,Stainless Steel,Passivated,Slip-Fit,No,Yes,No,"Corrosive, washdown environments",Japan,,,
Daido,DA80SS-1,Daido Stainless Chain ANSI 80,Stainless,80SS,1.000,10800,2700,1,0.625,0.312,0.960,0.110,1.000,1.75,Stainless Steel,Passivated,Slip-Fit,No,Yes,No,"Heavy duty corrosive environments",Japan,,,
Daido,DSF40-1,Daido Super Chain Heavy ANSI 40,Heavy-Duty,40H,0.500,4450,1113,1,0.312,0.156,0.472,0.080,0.500,0.53,Carbon Steel,Shot Peened,Slip-Fit,No,No,Yes,"Heavy shock loads, demanding drives",Japan,,,
Daido,DSF60-1,Daido Super Chain Heavy ANSI 60,Heavy-Duty,60H,0.750,10200,2550,1,0.469,0.234,0.720,0.110,0.875,1.22,Carbon Steel,Shot Peened,Slip-Fit,No,No,Yes,"High shock, demanding applications",Japan,,,
Daido,DSF80-1,Daido Super Chain Heavy ANSI 80,Heavy-Duty,80H,1.000,17000,4250,1,0.625,0.312,0.960,0.156,1.000,2.10,Carbon Steel,Shot Peened,Slip-Fit,No,No,Yes,"Very heavy shock loads, mining",Japan,,,
Daido,DLF40-1,Daido Lube-Free Chain ANSI 40,Lube-Free,40,0.500,3700,925,1,0.312,0.156,0.472,0.060,0.500,0.43,Carbon Steel w/ Sintered Bushings,Standard,Slip-Fit,Yes,No,No,"No-lube environments, food processing",Japan,,,
Daido,DLF60-1,Daido Lube-Free Chain ANSI 60,Lube-Free,60,0.750,8500,2125,1,0.469,0.234,0.720,0.094,0.875,1.05,Carbon Steel w/ Sintered Bushings,Standard,Slip-Fit,Yes,No,No,"No-lube food/pharma environments",Japan,,,
